district,furnished,ac,kitchen,age,street_width,area,wc,livings,beds,price,year,month,total_rooms
حي المروة,0,0,0,6,25,150,2,1,3,30000,2022,12,6
حي المنار,0,0,1,9,5,200,3,1,3,30000,2022,12,7
حي ام حبلين,0,0,1,0,25,185,3,1,5,30000,2022,12,9
حي الرحمانية,0,1,1,4,5,176,2,1,3,30000,2022,12,6
حي البوادي,0,0,1,18,5,100,3,1,4,30000,2022,12,8
حي ابحر الجنوبية,0,0,1,10,16,200,2,1,3,30000,2022,12,6
حي الصالحية,0,0,1,0,16,210,3,1,3,30000,2022,12,7
حي السامر,0,0,0,3,30,120,2,1,4,30000,2022,12,7
حي الحمدانية,0,0,1,2,20,400,4,1,5,30000,2022,12,10
حي الصفا,0,0,1,10,5,120,2,1,4,30000,2022,12,7
حي الشراع,0,1,0,3,15,100,3,1,4,30000,2022,12,8
حي طيبة,0,0,1,4,10,200,3,1,4,30000,2022,12,8
حي الصوارى,0,0,1,1,17,170,3,1,5,30000,2022,12,9
حي المنار,0,0,1,0,16,120,3,1,4,30000,2022,12,8
حي السامر,0,0,1,12,5,250,3,1,5,30000,2022,12,9
حي النعيم,0,0,1,6,5,90,2,1,3,30000,2022,12,6
حي الواحة,0,0,0,0,15,135,2,1,3,30000,2022,12,6
حي المروة,0,0,1,9,10,120,2,1,3,30000,2022,12,6
حي البشائر,0,0,1,0,20,290,3,1,5,30000,2022,12,9
حي الواحة,0,0,0,0,20,117,3,1,4,30000,2022,12,8
حي الفلاح,0,0,0,7,5,192,3,1,5,30000,2022,12,9
حي الصالحية,0,0,1,0,25,300,3,1,5,30000,2022,12,9
حي النهضة,0,0,0,14,5,150,2,1,3,30000,2022,12,6
حي الحمدانية,0,0,1,3,17,135,3,1,5,30000,2022,12,9
حي الفيصلية,0,0,1,1,50,120,2,1,3,30500,2022,12,6
حي الرويس,0,0,1,13,15,180,2,1,2,30800,2022,12,5
حي الفضيلة,0,0,1,0,15,120,2,1,4,31000,2022,12,7
حي الواحة,0,1,1,5,20,120,2,1,4,31000,2022,12,7
حي المحمدية,0,0,1,9,12,128,2,1,3,31000,2022,12,6
حي الصوارى,0,0,0,5,5,210,3,1,5,31000,2022,12,9
حي مريخ,0,0,1,4,20,118,4,1,5,31000,2022,12,10
حي المنار,0,0,1,5,30,105,2,1,4,32000,2022,12,7
حي الصالحية,0,1,0,1,5,387,3,1,5,32000,2022,12,9
أخرى,0,0,1,20,5,50,3,1,3,32000,2022,12,7
حي الريان,0,0,0,4,15,210,3,1,5,32000,2022,12,9
حي المروة,0,0,1,5,11,140,2,1,4,32000,2022,12,7
حي ابحر الشمالية,0,0,0,4,16,312,3,1,3,32000,2022,12,7
حي الريان,0,0,0,3,5,180,3,1,5,32000,2022,12,9
حي السامر,0,0,1,2,5,240,3,1,4,32000,2022,12,8
حي المروة,0,0,1,18,16,165,3,1,5,32000,2022,12,9
حي الصفا,0,0,1,6,16,213,3,1,5,32000,2022,12,9
حي الرحمانية,0,0,1,0,16,300,3,3,5,32000,2022,12,11
حي السلامة,0,1,1,4,11,100,2,2,2,32000,2022,12,6
حي طيبة,0,0,0,1,35,150,2,1,3,32000,2022,12,6
حي البوادي,0,0,1,16,16,250,2,1,5,32000,2022,12,8
حي الزهراء,0,0,1,10,5,150,3,1,3,32000,2022,12,7
حي الفلاح,0,0,0,6,5,195,3,1,5,32000,2022,12,9
حي الريان,0,0,0,10,5,200,3,1,5,32000,2022,12,9
حي الروضة,0,0,1,5,20,100,3,1,3,32000,2022,12,7
حي الاصالة,0,0,0,0,15,140,3,1,5,32000,2022,12,9
حي السامر,1,0,1,2,30,90,2,1,3,32000,2022,12,6
حي الكوثر,0,0,1,9,20,224,3,1,5,32000,2022,12,9
حي السلامة,0,0,1,10,16,200,3,1,5,32000,2022,12,9
حي ابرق الرغامة,0,0,1,10,15,220,3,1,4,32000,2022,12,8
حي النسيم,0,0,0,3,30,140,2,1,3,32000,2022,12,6
حي النعيم,0,0,1,14,11,130,3,1,4,32000,2022,12,8
حي الحمدانية,0,0,0,0,5,280,3,1,5,32000,2022,12,9
حي السنابل,0,0,0,3,15,160,2,1,4,32400,2022,12,7
حي ابحر الجنوبية,0,1,1,5,31,100,2,1,3,33000,2022,12,6
حي المروة,0,0,0,2,15,150,3,1,5,33000,2022,12,9
حي مريخ,0,0,0,0,5,121,2,1,4,33000,2022,12,7
حي الورود,0,0,0,1,5,25,1,0,2,33000,2022,12,3
حي المنار,0,0,1,3,5,210,3,1,5,33000,2022,12,9
حي الريان,0,1,1,3,20,188,4,1,5,33000,2022,12,10
حي الريان,0,1,1,3,25,188,4,1,5,33000,2022,12,10
حي ابرق الرغامة,0,0,1,0,26,127,2,1,4,33000,2022,12,7
حي الحمدانية,0,0,1,3,16,160,3,1,4,33000,2022,12,8
حي مريخ,0,0,1,0,33,200,3,1,4,33000,2022,12,8
حي الواحة,0,0,0,0,15,150,3,1,4,33000,2022,12,8
حي الروضة,0,1,1,8,5,90,2,1,2,33000,2022,12,5
حي ابحر الجنوبية,0,0,1,0,16,150,2,2,2,33000,2022,12,6
حي مشرفة,0,0,1,3,18,100,2,1,3,33000,2022,12,6
حي السنابل,0,0,0,0,5,115,3,1,3,33000,2022,12,7
حي الياقوت,0,0,0,0,20,140,3,1,5,33000,2022,12,9
أخرى,0,0,1,3,15,136,2,1,4,34000,2022,12,7
حي الصفا,0,0,0,30,10,190,2,1,3,34000,2022,12,6
حي طيبة,0,0,0,5,10,250,3,1,5,34000,2022,12,9
حي الهدى,0,0,0,5,5,180,3,1,5,34000,2022,12,9
حي الزمرد,0,0,1,0,16,220,3,1,4,34000,2022,12,8
حي النسيم,0,0,1,14,15,200,3,1,5,34000,2022,12,9
حي المنار,1,1,1,10,5,126,2,1,4,34000,2022,12,7
حي الرحمانية,0,0,0,2,5,268,3,1,5,34000,2022,12,9
حي السلامة,0,1,1,36,5,230,3,1,5,34000,2022,12,9
حي النسيم,0,0,1,17,5,190,3,1,5,34000,2022,12,9
حي النسيم,0,0,1,13,18,195,4,0,5,35000,2022,12,9
حي المنار,0,0,1,0,16,130,3,1,4,35000,2022,12,8
حي الحمدانية,0,0,0,0,21,195,5,1,6,35000,2022,12,12
حي الزمرد,0,0,1,3,16,285,3,1,5,35000,2022,12,9
حي الياقوت,0,0,1,0,5,130,3,1,5,35000,2022,12,9
حي الحمدانية,0,0,1,3,16,300,3,1,5,35000,2022,12,9
حي السامر,0,0,1,6,19,180,3,1,4,35000,2022,12,8
حي السامر,0,0,1,10,5,180,3,1,3,35000,2022,12,7
حي الحمدانية,0,0,1,0,5,159,3,3,3,35000,2022,12,9
حي الريان,0,0,1,7,5,250,4,1,5,35000,2022,12,10
حي السامر,0,0,0,14,7,200,3,1,5,35000,2022,12,9
حي المنتزه,0,0,1,15,5,256,3,1,5,35000,2022,12,9
حي الربوة,0,0,1,10,17,200,3,1,5,35000,2022,12,9
حي النسيم,0,0,1,12,15,200,3,1,5,35000,2022,12,9
حي الياقوت,0,0,0,0,16,150,3,1,4,35000,2022,12,8
حي السلامة,0,0,1,3,16,200,3,1,3,35000,2022,12,7
حي النسيم,0,0,0,6,100,154,4,1,5,35000,2022,12,10
حي الزهراء,0,0,1,15,20,150,2,1,4,35000,2022,12,7
حي المروة,0,0,1,4,5,160,4,1,4,35000,2022,12,9
حي الفلاح,0,0,1,3,21,200,3,1,5,35000,2022,12,9
حي النزهة,0,0,0,0,5,280,4,1,5,35000,2022,12,10
حي الفلاح,0,0,1,0,15,275,3,1,5,35000,2022,12,9
حي الاجاويد,0,0,1,6,15,252,3,1,6,35000,2022,12,10
حي الريان,0,0,1,0,5,217,4,1,5,35000,2022,12,10
حي مريخ,0,0,1,0,24,250,4,2,3,35000,2022,12,9
حي الصفا,0,0,1,19,20,200,3,1,5,35000,2022,12,9
حي الاجاويد,0,0,0,7,13,220,3,1,5,35000,2022,12,9
حي الصوارى,0,0,1,0,19,170,4,1,4,35000,2022,12,9
حي الفلاح,0,0,0,2,16,250,3,1,5,35000,2022,12,9
حي الفلاح,0,0,1,0,15,198,3,1,5,35000,2022,12,9
حي الفيصلية,0,0,1,0,15,135,2,0,4,35000,2022,12,6
حي السامر,0,0,1,7,5,380,3,1,5,35000,2022,12,9
حي الورود,0,0,1,0,5,100,2,1,4,35000,2022,12,7
حي المروة,0,1,1,10,25,138,3,1,5,35000,2022,12,9
حي الريان,0,0,1,0,21,220,4,1,5,35000,2022,12,10
حي الريان,0,0,0,4,15,175,4,1,5,35000,2022,12,10
حي بني مالك,0,0,0,5,5,150,3,1,4,35000,2022,12,8
حي ابرق الرغامة,0,0,1,0,5,208,3,1,5,35000,2022,12,9
حي المنتزه,0,0,1,7,20,182,4,1,5,35000,2022,12,10
حي المنتزه,0,0,1,10,5,182,3,1,7,35000,2022,12,11
حي اللؤلؤ,0,0,1,0,16,140,3,1,6,35000,2022,12,10
حي ام السلم,0,1,1,5,15,234,3,1,5,35000,2022,12,9
حي الزمرد,0,0,1,2,5,250,3,1,4,35000,2022,12,8
حي الصالحية,0,0,1,0,25,250,3,1,5,35000,2022,12,9
حي الهدى,0,0,1,1,5,200,3,1,5,35000,2022,12,9
حي المروة,0,1,1,5,5,160,2,1,4,35000,2022,12,7
حي الصفا,0,0,0,15,5,200,2,1,5,35000,2022,12,8
حي ابحر الجنوبية,0,0,1,6,25,400,2,1,3,35000,2022,12,6
حي الزمرد,0,1,1,3,5,200,3,1,4,35000,2022,12,8
حي الكوثر,0,0,1,0,20,170,3,1,4,35000,2022,12,8
أخرى,0,0,1,0,5,150,2,1,4,35000,2022,12,7
حي الزهراء,0,0,1,15,5,160,3,1,4,35000,2022,12,8
حي الواحة,0,0,0,5,15,135,2,1,4,35000,2022,12,7
حي الروضة,0,0,1,16,5,270,3,1,3,35000,2022,12,7
حي اللؤلؤ,0,0,1,0,16,220,3,1,4,35000,2022,12,8
حي النزهة,1,1,0,5,12,180,2,1,4,35000,2022,12,7
حي المنار,0,0,0,13,20,200,3,1,5,35000,2022,12,9
حي الزمرد,0,0,1,7,16,141,2,0,3,35000,2022,12,5
حي الصوارى,0,0,1,1,5,200,3,1,4,35000,2022,12,8
حي الياقوت,0,0,1,0,30,180,3,1,4,35000,2022,12,8
حي مشرفة,0,1,1,3,18,100,2,1,3,35000,2022,12,6
حي السليمانية,0,1,1,2,5,110,2,1,3,35000,2022,12,6
حي الريان,0,0,1,0,10,155,3,1,4,35000,2022,12,8
حي المروة,0,0,1,5,5,140,3,1,4,35000,2022,12,8
حي الشراع,0,0,0,3,16,100,3,1,4,35000,2022,12,8
حي السلامة,0,0,0,9,10,150,4,1,5,35000,2022,12,10
حي الاصالة,0,0,1,10,15,170,3,1,5,35000,2022,12,9
حي النزهة,0,0,0,2,18,170,4,1,5,35000,2022,12,10
حي الصوارى,0,0,1,0,20,175,4,1,5,35000,2022,12,10
حي النسيم,0,0,0,10,15,120,2,1,5,35000,2022,12,8
حي الصالحية,0,0,0,0,16,242,3,1,5,35000,2022,12,9
أخرى,0,0,1,0,10,260,2,1,4,35000,2022,12,7
حي الاجاويد,0,1,1,6,5,260,4,1,5,35000,2022,12,10
حي الواحة,0,0,0,0,20,130,3,1,4,35000,2022,12,8
حي الحمدانية,0,0,1,10,51,220,3,1,5,35000,2022,12,9
أخرى,0,0,1,15,60,200,2,1,5,35000,2022,12,8
حي الصالحية,0,0,0,0,16,200,4,1,5,35000,2022,12,10
حي الصالحية,0,0,1,0,20,200,3,1,5,35000,2022,12,9
حي الواحة,0,0,1,0,15,96,2,1,3,35000,2022,12,6
حي السلامة,0,1,1,4,5,102,3,0,4,36000,2022,12,7
حي الرحمانية,1,1,1,8,20,239,4,1,5,36000,2022,12,10
حي السامر,0,0,0,10,32,250,3,1,5,36000,2022,12,9
حي المروة,0,0,1,14,5,150,3,1,5,36000,2022,12,9
حي المنار,0,0,1,8,47,260,3,1,5,36000,2022,12,9
حي ابرق الرغامة,1,1,1,0,18,120,2,1,4,36000,2022,12,7
حي الصالحية,0,0,1,0,15,200,3,1,6,36000,2022,12,10
حي الريان,0,0,0,4,15,181,4,1,6,36000,2022,12,11
حي النهضة,0,0,0,15,20,180,2,1,5,36000,2022,12,8
حي السلامة,0,0,1,6,12,110,3,0,4,36000,2022,12,7
حي الواحة,0,0,1,0,24,150,3,1,4,36000,2022,12,8
حي الواحة,0,0,1,0,30,145,3,1,4,36000,2022,12,8
حي الواحة,0,0,1,7,15,235,4,1,6,36000,2022,12,11
حي السلامة,0,0,1,5,15,170,3,1,4,36000,2022,12,8
حي المنار,0,0,1,15,17,170,4,1,5,36000,2022,12,10
حي مدائن الفهد,0,1,1,7,20,250,4,1,6,36000,2022,12,11
حي مريخ,0,0,0,0,20,280,3,1,5,36000,2022,12,9
حي الياقوت,0,0,0,0,5,18,3,1,5,36000,2022,12,9
حي الرياض,0,0,1,0,16,165,3,2,5,36000,2022,12,10
حي المروة,0,1,1,0,17,120,2,1,3,36000,2022,12,6
حي السلامة,0,1,1,5,12,160,3,1,5,36000,2022,12,9
حي الزمرد,0,0,1,0,5,180,3,1,5,36000,2022,12,9
حي مريخ,0,0,1,0,5,170,3,1,5,37000,2022,12,9
حي المنتزه,0,0,0,7,20,220,3,1,5,37000,2022,12,9
حي الفيصلية,0,0,1,9,11,220,3,3,5,37000,2022,12,11
حي ابحر الجنوبية,0,0,1,0,16,170,2,1,4,37000,2022,12,7
حي النزهة,0,1,1,5,5,130,2,1,3,37000,2022,12,6
حي العزيزية,0,0,1,25,18,250,3,1,5,37000,2022,12,9
حي النسيم,0,0,1,0,39,180,3,1,4,37000,2022,12,8
حي النزهة,0,1,1,5,15,140,2,1,3,37000,2022,12,6
حي الصفا,0,0,0,15,20,195,3,1,5,37000,2022,12,9
حي الواحة,0,0,1,0,25,155,3,1,5,38000,2022,12,9
حي الريان,0,0,1,0,5,211,4,1,5,38000,2022,12,10
حي الريان,0,0,1,0,12,200,3,1,5,38000,2022,12,9
حي الواحة,0,0,1,4,20,220,4,1,5,38000,2022,12,10
حي السلامة,0,0,1,4,5,100,2,1,3,38000,2022,12,6
حي الواحة,0,0,1,0,20,140,2,1,4,38000,2022,12,7
حي المنار,0,1,1,4,5,113,3,1,4,38000,2022,12,8
حي الشراع,0,0,1,3,15,186,4,1,5,38000,2022,12,10
حي السليمانية,0,0,1,20,5,216,3,1,5,38000,2022,12,9
حي المنار,0,0,1,4,16,250,4,1,5,38000,2022,12,10
حي المروة,0,0,1,10,15,250,3,1,6,38000,2022,12,10
حي الواحة,0,0,0,0,15,140,3,1,4,38000,2022,12,8
حي الواحة,0,0,1,0,20,130,3,1,4,38000,2022,12,8
حي الفيصلية,0,0,1,0,10,111,2,1,3,38000,2022,12,6
حي الواحة,0,0,0,0,25,135,3,1,4,38000,2022,12,8
حي الواحة,0,0,0,0,27,140,2,1,4,38000,2022,12,7
حي مشرفة,0,0,1,15,5,190,3,1,5,38000,2022,12,9
حي الزهراء,0,1,1,4,20,100,2,1,3,38000,2022,12,6
حي الزمرد,0,0,0,1,5,171,3,1,5,38000,2022,12,9
حي الزهراء,0,0,1,15,5,120,3,1,3,38000,2022,12,7
حي الاصالة,0,0,1,3,5,140,3,1,4,38000,2022,12,8
حي الواحة,0,0,1,0,21,130,3,1,4,38000,2022,12,8
حي الورود,0,0,1,0,18,120,3,1,4,38000,2022,12,8
حي النهضة,0,0,0,15,20,210,4,1,5,38000,2022,12,10
حي الصفا,0,1,1,14,5,180,3,1,4,38000,2022,12,8
حي المرجان,0,1,0,18,15,210,1,1,2,38000,2022,12,4
حي النخيل,0,0,1,6,100,200,3,1,5,38000,2022,12,9
حي الريان,0,0,1,1,10,216,3,1,5,38000,2022,12,9
حي الصفا,0,0,1,11,16,197,3,1,5,39000,2022,12,9
حي الواحة,0,0,1,0,5,133,3,1,4,39000,2022,12,8
حي الصفا,0,1,1,20,5,280,3,1,3,39000,2022,12,7
حي الصفا,0,0,1,8,20,250,3,1,5,39990,2022,12,9
حي الصفا,0,0,0,8,5,220,3,1,5,39990,2022,12,9
حي الواحة,0,0,1,0,36,117,3,1,4,40000,2022,12,8
حي الشراع,0,0,0,0,15,200,2,1,3,40000,2022,12,6
حي الاميرعبدالمجيد,0,1,1,2,10,217,3,2,5,40000,2022,12,10
حي المروة,0,0,1,3,15,200,4,2,5,40000,2022,12,11
حي مريخ,0,0,1,2,14,200,4,2,5,40000,2022,12,11
حي الرحمانية,0,0,1,0,15,264,3,1,5,40000,2022,12,9
حي الزهراء,0,0,1,15,12,260,5,1,6,40000,2022,12,12
حي الروضة,0,0,1,26,12,221,3,1,5,40000,2022,12,9
حي الصوارى,0,0,1,0,5,250,3,1,4,40000,2022,12,8
حي الرحاب,0,0,1,6,5,134,3,1,4,40000,2022,12,8
حي ابحر الجنوبية,0,1,0,9,20,120,3,1,5,40000,2022,12,9
حي بني مالك,0,0,0,11,20,200,3,1,5,40000,2022,12,9
حي الواحة,0,0,1,0,5,141,3,1,3,40000,2022,12,7
حي مريخ,0,0,1,1,15,225,4,2,5,40000,2022,12,11
حي الربوة,0,0,1,3,18,180,3,3,4,40000,2022,12,10
حي الحمدانية,0,0,0,0,18,196,4,1,6,40000,2022,12,11
حي المروة,1,1,1,0,32,200,4,1,4,40000,2022,12,9
حي المروة,0,1,1,1,20,160,3,1,5,40000,2022,12,9
حي الصوارى,0,0,1,0,20,165,4,1,5,40000,2022,12,10
حي الصوارى,0,0,0,0,4,150,3,1,4,40000,2022,12,8
حي الواحة,0,0,0,0,25,144,3,1,5,40000,2022,12,9
حي الحمدانية,0,0,0,0,67,196,5,1,7,40000,2022,12,13
حي الفيصلية,0,0,1,18,15,250,4,1,5,40000,2022,12,10
حي الحمراء,0,0,1,1,10,110,2,2,2,40000,2022,12,6
حي الواحة,0,0,1,5,15,230,3,1,5,40000,2022,12,9
حي ابحر الشمالية,0,0,1,2,16,200,3,1,5,40000,2022,12,9
حي الريان,0,0,1,0,20,230,4,1,5,40000,2022,12,10
حي الريان,0,0,1,0,19,198,4,1,4,40000,2022,12,9
حي اللؤلؤ,0,0,1,0,16,300,3,1,4,40000,2022,12,8
حي الروضة,0,0,1,20,5,130,2,2,4,40000,2022,12,8
حي الحمدانية,0,0,1,0,15,195,5,1,5,40000,2022,12,11
حي المروة,0,0,1,11,15,185,3,1,5,40000,2022,12,9
حي الروضة,0,0,1,15,34,55,3,1,4,40000,2022,12,8
حي المنار,1,1,1,5,5,140,3,1,4,40000,2022,12,8
حي الريان,0,1,1,1,5,200,4,1,5,40000,2022,12,10
حي المروة,0,0,1,10,5,195,3,1,5,40000,2022,12,9
حي مريخ,1,1,1,2,15,240,4,1,5,40000,2022,12,10
حي الواحة,0,0,0,0,30,155,3,1,4,40000,2022,12,8
حي الصفا,0,0,1,14,25,200,3,1,5,40000,2022,12,9
حي الصوارى,0,0,0,0,15,200,3,2,4,40000,2022,12,9
حي الزهراء,0,0,0,2,20,270,3,2,5,40000,2022,12,10
حي ابحر الشمالية,0,0,1,0,5,275,5,1,4,40000,2022,12,10
حي الاندلس,1,1,1,1,10,90,2,1,2,40000,2022,12,5
حي المروة,1,1,1,10,5,180,4,2,4,40000,2022,12,10
حي الروضة,0,1,1,3,5,95,2,1,3,40000,2022,12,6
حي الصوارى,0,0,1,2,16,190,3,2,5,40000,2022,12,10
حي المنار,0,0,0,7,10,190,2,1,4,40000,2022,12,7
حي مريخ,1,1,1,1,5,234,4,1,6,40000,2022,12,11
حي الفيصلية,0,1,1,4,11,125,2,2,2,40000,2022,12,6
حي الصوارى,0,0,1,3,16,165,3,1,5,40000,2022,12,9
حي الصوارى,0,0,0,0,16,300,3,1,4,40000,2022,12,8
حي النسيم,0,0,1,2,20,200,4,1,5,40000,2022,12,10
حي الحمدانية,0,0,0,0,50,200,4,1,6,40000,2022,12,11
حي المروة,0,0,1,0,5,140,4,1,5,40000,2022,12,10
حي الصوارى,0,1,0,3,15,200,3,1,4,40000,2022,12,8
حي مريخ,0,1,1,2,18,260,3,1,5,40000,2022,12,9
حي الواحة,0,0,1,0,15,120,3,1,4,40000,2022,12,8
حي الصالحية,0,0,1,0,16,310,4,1,3,40000,2022,12,8
حي الفلاح,0,0,0,0,5,90,3,1,5,40000,2022,12,9
حي مريخ,1,1,1,1,20,225,3,1,4,40000,2022,12,8
حي السلامة,0,0,1,10,12,200,3,1,5,40000,2022,12,9
حي الريان,0,0,1,0,14,210,3,1,4,40000,2022,12,8
حي الصفا,0,0,1,14,5,270,3,1,6,40000,2022,12,10
حي النسيم,0,0,1,0,20,200,3,1,5,40000,2022,12,9
حي الامير فواز الجنوبي,0,0,0,1,15,286,3,1,5,40000,2022,12,9
حي الواحة,0,0,0,1,5,150,3,1,5,40000,2022,12,9
حي السلامة,0,0,0,15,12,215,3,1,5,41000,2022,12,9
حي الصوارى,0,0,1,0,20,165,4,1,5,41000,2022,12,10
حي الواحة,0,0,1,0,5,155,3,1,5,41000,2022,12,9
حي المنار,0,1,1,7,5,180,3,2,4,42000,2022,12,9
حي المروة,0,1,1,10,5,210,3,1,5,42000,2022,12,9
حي المنار,0,1,1,6,17,160,3,2,4,42000,2022,12,9
حي الصوارى,0,0,1,0,5,165,3,1,5,42000,2022,12,9
حي الربوة,0,0,0,0,5,174,4,1,5,42000,2022,12,10
حي النسيم,0,0,1,8,15,240,4,1,6,42000,2022,12,11
حي ابرق الرغامة,0,0,1,2,5,225,3,1,5,42000,2022,12,9
حي الواحة,0,0,1,4,15,240,4,1,6,42000,2022,12,11
حي الحمدانية,0,0,1,0,5,199,5,2,5,42000,2022,12,12
حي الروضة,0,0,1,1,15,140,2,1,3,42000,2022,12,6
حي ابرق الرغامة,0,0,0,2,17,225,3,1,5,42000,2022,12,9
حي الزهراء,0,0,0,3,5,200,3,1,5,42000,2022,12,9
حي المحمدية,0,0,1,0,20,170,3,1,2,42000,2022,12,6
حي السلامة,0,0,1,5,10,170,4,1,5,42000,2022,12,10
حي الصوارى,0,0,1,0,5,201,4,1,4,42000,2022,12,9
حي مريخ,0,1,1,2,13,220,4,2,3,43000,2022,12,9
حي الفيصلية,0,0,1,6,13,250,3,1,5,43000,2022,12,9
حي الصوارى,0,0,1,1,20,163,4,1,4,43000,2022,12,9
حي السلامة,0,1,1,0,5,100,2,1,3,43000,2022,12,6
حي بني مالك,0,0,1,8,18,200,4,1,5,43000,2022,12,10
حي المروة,0,0,1,4,7,200,3,2,5,43000,2022,12,10
حي الواحة,0,1,1,0,15,170,4,2,5,44000,2022,12,11
حي المروة,0,0,1,5,5,264,4,1,6,44000,2022,12,11
حي الواحة,0,0,0,0,32,200,4,1,5,44000,2022,12,10
حي الصفا,1,1,1,15,16,231,3,1,5,45000,2022,12,9
حي الزهراء,0,0,0,18,8,115,4,1,4,45000,2022,12,9
حي المروة,0,1,1,8,20,260,5,2,5,45000,2022,12,12
حي المروة,0,0,1,10,5,200,4,1,6,45000,2022,12,11
حي الحمدانية,0,0,1,0,19,195,5,1,6,45000,2022,12,12
حي الصوارى,0,0,1,0,30,200,4,1,4,45000,2022,12,9
حي الحمدانية,0,0,1,0,5,195,4,1,7,45000,2022,12,12
حي الواحة,0,0,1,0,5,159,3,1,5,45000,2022,12,9
حي الواحة,0,0,0,0,5,225,5,1,5,45000,2022,12,11
حي الزهراء,0,0,1,7,19,180,3,1,4,45000,2022,12,8
حي مريخ,0,0,1,1,5,290,4,1,7,45000,2022,12,12
حي بني مالك,0,0,1,9,5,200,4,1,5,45000,2022,12,10
حي النهضة,0,0,0,5,25,100,2,1,3,45000,2022,12,6
حي الواحة,0,0,0,0,25,168,3,1,5,45000,2022,12,9
حي السلامة,0,0,1,8,15,165,3,1,5,45000,2022,12,9
حي الصوارى,0,0,0,0,5,140,3,1,4,45000,2022,12,8
حي المروة,0,0,1,9,20,140,2,1,4,45000,2022,12,7
حي الواحة,0,0,1,0,5,172,4,1,5,45000,2022,12,10
حي النعيم,1,1,1,6,15,150,3,2,3,45000,2022,12,8
حي مريخ,0,0,0,2,15,218,3,1,5,45000,2022,12,9
حي الزهراء,0,0,1,8,10,180,3,1,4,45000,2022,12,8
حي المروة,0,0,1,12,15,245,4,2,5,45000,2022,12,11
حي المروة,0,0,1,10,15,240,4,2,6,45000,2022,12,12
حي المروة,0,0,0,0,15,190,4,1,5,45000,2022,12,10
حي الشراع,0,1,1,2,20,90,2,2,2,45000,2022,12,6
حي الاصالة,0,0,1,1,5,195,5,1,7,45000,2022,12,13
حي الريان,0,0,1,0,5,210,4,1,6,45000,2022,12,11
حي الحمدانية,0,0,0,0,5,194,5,2,4,45000,2022,12,11
حي النهضة,0,1,1,5,15,170,3,1,4,45000,2022,12,8
حي الصوارى,0,0,1,0,1,103,4,1,3,45000,2022,12,8
حي الزهراء,0,0,1,8,20,100,3,1,4,45000,2022,12,8
حي السنابل,0,0,0,1,5,200,3,1,6,45000,2022,12,10
حي الزهراء,0,0,1,3,16,120,4,1,5,45000,2022,12,10
حي الواحة,0,0,1,0,22,170,3,1,4,45000,2022,12,8
حي الواحة,0,0,1,0,26,170,3,1,5,45000,2022,12,9
حي الواحة,0,0,0,0,20,197,4,1,5,45000,2022,12,10
حي السلامة,0,1,1,1,15,100,1,1,1,45000,2022,12,3
حي السامر,0,0,1,0,5,200,4,2,5,45000,2022,12,11
حي الروضة,0,0,1,10,15,180,4,1,5,45000,2022,12,10
حي المروة,0,0,1,10,5,170,3,1,4,45000,2022,12,8
حي الصفا,0,1,1,8,5,200,3,2,5,45000,2022,12,10
حي الصفا,0,0,1,6,15,170,4,1,5,45000,2022,12,10
حي النزهة,0,0,0,0,14,170,4,1,4,45000,2022,12,9
حي المنار,0,0,0,0,25,275,5,1,6,45000,2022,12,12
حي الواحة,0,0,1,0,20,170,4,1,5,45000,2022,12,10
حي السلامة,0,0,1,13,14,180,3,1,5,45000,2022,12,9
حي الصفا,0,0,0,14,5,220,3,1,5,45000,2022,12,9
حي السلامة,0,0,1,0,16,140,3,1,4,45000,2022,12,8
حي الزهراء,0,0,1,5,20,200,3,1,5,45000,2022,12,9
حي المروة,0,0,0,3,25,200,4,2,5,45000,2022,12,11
حي السلامة,0,0,0,0,15,170,4,1,5,45000,2022,12,10
حي الصوارى,0,0,1,0,10,240,3,1,5,45000,2022,12,9
حي الربوة,0,0,0,0,100,102,4,1,5,45000,2022,12,10
حي الربوة,0,0,1,10,5,216,3,2,5,45000,2022,12,10
حي مريخ,0,0,1,0,5,200,3,2,5,45000,2022,12,10
حي الصوارى,0,1,1,0,20,154,4,1,5,45000,2022,12,10
حي النهضة,0,1,1,30,5,300,2,1,5,45000,2022,12,8
حي الصوارى,0,0,1,0,14,180,4,1,5,45000,2022,12,10
حي الهدى,0,0,1,0,15,200,4,1,5,45000,2022,12,10
حي المروة,0,0,0,3,15,240,3,2,5,46000,2022,12,10
حي المروة,0,0,1,12,5,200,3,1,5,46000,2022,12,9
حي المروة,0,1,1,5,20,204,3,1,5,46000,2022,12,9
حي الصوارى,0,0,1,0,20,180,4,1,6,46000,2022,12,11
حي الريان,0,0,1,0,16,240,4,1,5,47000,2022,12,10
حي الريان,0,0,1,0,30,210,4,1,4,47000,2022,12,9
حي الشاطئ,0,0,1,9,5,200,3,1,4,47000,2022,12,8
حي الشاطئ,0,1,0,2,25,200,3,2,4,48000,2022,12,9
حي مشرفة,0,0,1,0,16,195,4,1,6,48000,2022,12,11
حي الزهراء,1,1,1,3,15,120,2,1,3,48000,2022,12,6
حي الروضة,0,1,1,6,10,180,3,2,5,48000,2022,12,10
حي الحمدانية,0,0,1,0,5,300,4,1,5,48000,2022,12,10
حي الواحة,0,1,1,2,5,209,4,2,7,48000,2022,12,13
حي البغدادية الغربية,0,0,1,4,12,200,5,2,4,48000,2022,12,11
